Numéro séquentiel,Nature des dommages,Type d'usager,Type de véhicule,Marque,Modèle,Cylindré,Année de fabrication
1058,Graves,Cycliste,Automobile,KIA,FORTE,002361,2011
2381,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003608,2011
3205,Graves,Cycliste,Camionnette,DODGE,RAM,005707,2012
911,Graves,Cycliste,Automobile,PONTI,GRAND,003395,2002
1278,Graves,Cycliste,Automobile,SUZUK,AERIO,002296,2006
2832,Graves,Cycliste,Automobile,HYUND,ACCEN,001492,2003
1368,Graves,Cycliste,Automobile,FORD,FOCUS,002001,2006
1500,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2004
3291,Graves,Cycliste,VUS,MAZDA,TRIBU,002968,2002
983,Graves,Cycliste,Automobile,CHEVR,AVEO,001607,2007
2834,Graves,Cycliste,Véhicule léger non précisé,,,,
4218,Graves,Cycliste,Véhicule léger non précisé,,,,
1370,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2012
1870,Graves,Cycliste,Automobile,KIA,FORTE,002001,2013
2073,Graves,Cycliste,VUS,GMC,SAVAN,005969,2003
15,Graves,Cycliste,Automobile,TOYOT,COROL,001804,2015
2005,Graves,Cycliste,Automobile,CHRYS,200,002394,2013
2600,Graves,Cycliste,Automobile,PONTI,MONTA,003395,2003
2600,Graves,Cycliste,Automobile,PONTI,MONTA,003395,2003
297,Graves,Cycliste,Automobile,MERCE,E500,004969,2005
1059,Graves,Cycliste,Camionnette,FORD,F150,005002,2014
1060,Graves,Cycliste,VUS,TOYOT,HIGHL,003493,2013
3225,Graves,Cycliste,Fourgonnette,CHEVR,UPLAN,003509,2006
400,Graves,Cycliste,Automobile,HYUND,ELANT,001984,2007
440,Graves,Cycliste,Camionnette,FORD,COF,004198,1997
2703,Graves,Cycliste,Automobile,HYUND,ELANT,001804,2015
2213,Graves,Cycliste,Automobile,FORD,MUSTA,003805,2002
1153,Graves,Cycliste,Véhicule léger non précisé,,,,
1812,Graves,Cycliste,Autres,,,,
2671,Graves,Cycliste,Véhicule léger non précisé,INTER,40S,007642,2013
2836,Graves,Cycliste,Automobile,KIA,RIO,001607,2005
3669,Graves,Cycliste,Véhicule léger non précisé,,,,
859,Graves,Cycliste,Automobile,TOYOT,MATRI,001787,2006
731,Graves,Cycliste,VUS,DODGE,JOURN,002394,2010
2243,Graves,Cycliste,Automobile,BMW,Z3,002788,1997
2432,Graves,Cycliste,Véhicule léger non précisé,,,,
2432,Graves,Cycliste,Automobile,HYUND,ACCEN,001607,2012
4264,Graves,Cycliste,Automobile,CHEVR,CRUZE,001394,2011
1372,Graves,Cycliste,VUS,FORD,ESCAP,002509,2013
3897,Graves,Cycliste,Automobile,CHEVR,COBAL,002197,2007
1064,Graves,Cycliste,Automobile,VOLKS,GOLF,002476,2011
1064,Graves,Cycliste,VUS,GMC,TERRA,002394,2012
3309,Graves,Cycliste,VUS,HONDA,PILOT,003493,2012
1813,Graves,Cycliste,Automobile,TOYOT,CAMRY,003001,2003
1066,Graves,Cycliste,VUS,SUBAR,FORES,002460,2015
2838,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2012
3614,Graves,Cycliste,Camionnette,FORD,F150,005002,2012
3493,Graves,Cycliste,Camionnette,TOYOT,TUNDR,004608,2010
548,Graves,Cycliste,Fourgonnette,HONDA,ODYSS,003477,2003
1907,Graves,Cycliste,Automobile,NOVAB,LFS,000000,2011
4114,Graves,Cycliste,Fourgonnette,KIA,RONDO,002361,2012
4089,Graves,Cycliste,Automobile,TOYOT,COROL,001804,2008
700,Graves,Cycliste,Automobile,NOVAB,LFS,000000,2010
1373,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2010
2434,Graves,Cycliste,Automobile,HYUND,SONAT,002345,2004
4120,Graves,Cycliste,Automobile,MAZDA,3,002001,2007
16,Graves,Cycliste,Automobile,NOVA,LFS,000000,2008
2079,Graves,Cycliste,VUS,CHEVR,EQUIN,002394,2014
550,Graves,Cycliste,Autobus,MCI,J4500,000000,2003
1508,Graves,Cycliste,Véhicule léger non précisé,INTER,40S,007642,2009
401,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2007
2346,Graves,Cycliste,Automobile,KIA,FORTE,001804,2015
1070,Graves,Cycliste,Camionnette,CHEVR,SILVE,005297,2007
3134,Graves,Cycliste,Automobile,VOLKS,CABRI,001984,1996
17,Graves,Cycliste,Automobile,HYUND,ELANT,001984,2008
3099,Graves,Cycliste,VUS,SUZUK,GRAND,002689,2006
2672,Graves,Cycliste,Tracteur routier,KENWO,CON,012020,2000
2081,Graves,Cycliste,Automobile,TOYOT,COROL,001787,2000
2656,Graves,Cycliste,Véhicule léger non précisé,,,,
4204,Graves,Cycliste,Tracteur routier,FREIG,CON,012824,2008
553,Graves,Cycliste,Véhicule léger non précisé,,,,
2435,Graves,Cycliste,VUS,CHEVR,EQUIN,002394,2010
1071,Graves,Cycliste,Automobile,ACURA,RLX,003509,2014
2848,Graves,Cycliste,Automobile,VOLKS,JETTA,001902,2001
2849,Graves,Cycliste,Véhicule léger non précisé,,,,
3327,Graves,Cycliste,Camionnette,FORD,F150,005002,2013
2850,Graves,Cycliste,VUS,MITSU,OUTLA,002378,2011
3875,Graves,Cycliste,Automobile,HYUND,ACCEN,001607,2014
1814,Graves,Cycliste,Automobile,PONTI,G5,002197,2007
2084,Graves,Cycliste,Véhicule léger non précisé,,,,
4304,Graves,Cycliste,Camionnette,FORD,F150,003509,2015
1720,Graves,Cycliste,Véhicule léger non précisé,,,,
1072,Graves,Cycliste,Véhicule léger non précisé,,,,
1375,Graves,Cycliste,Automobile,HYUND,ACCEN,001607,2008
2085,Graves,Cycliste,VUS,HYUND,SANTA,002345,2005
2557,Graves,Cycliste,Véhicule léger non précisé,,,,
1281,Graves,Cycliste,Véhicule léger non précisé,,,,
2852,Graves,Cycliste,VUS,HYUND,TUCSO,002361,2011
2634,Graves,Cycliste,Camionnette,RAM,1500,005707,2013
736,Graves,Cycliste,Camion,HINO,HIN,007691,2015
2087,Graves,Cycliste,Automobile,HONDA,CIVIC,001673,2004
486,Graves,Cycliste,Automobile,SUBAR,IMPRE,002001,2014
1074,Graves,Cycliste,VUS,JEEP,COMPA,002394,2011
3135,Graves,Cycliste,Automobile,PONTI,VIBE,001804,2006
3244,Graves,Cycliste,Automobile,PONTI,VIBE,001800,2004
3371,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2001
363,Graves,Cycliste,Autobus,PREVO,MIRAG,000000,2004
702,Graves,Cycliste,VUS,LANDR,LR4,003001,2015
2491,Graves,Cycliste,Automobile,CHEVR,IMPAL,003608,2013
2349,Graves,Cycliste,Véhicule léger non précisé,,,,
4220,Graves,Cycliste,Autres,FREIG,MCV,008281,1998
672,Graves,Cycliste,Automobile,TOYOT,COROL,001804,2015
3245,Graves,Cycliste,Véhicule léger non précisé,,,,
364,Graves,Cycliste,Tracteur routier,KENWO,CON,010315,1999
408,Graves,Cycliste,Camionnette,FORD,F150,005395,2007
1078,Graves,Cycliste,Véhicule léger non précisé,,,,
3954,Graves,Cycliste,Camionnette,CHEVR,SILVE,005297,2012
862,Graves,Cycliste,VUS,TOYOT,HIGHL,003509,2010
988,Graves,Cycliste,Véhicule léger non précisé,,,,
1518,Graves,Cycliste,Automobile,BMW,328XI,003001,2011
2867,Graves,Cycliste,Véhicule léger non précisé,,,,
4043,Graves,Cycliste,Camionnette,CHEVR,SILVE,005330,2002
18,Graves,Cycliste,Automobile,NISSA,ALTIM,002394,2000
191,Graves,Cycliste,Automobile,PONTI,G6,002394,2008
625,Graves,Cycliste,Automobile,TOYOT,COROL,001787,2007
557,Graves,Cycliste,Automobile,VOLKS,GOLF,001787,2015
2437,Graves,Cycliste,Tracteur routier,PETER,367,015005,2015
1653,Graves,Cycliste,Véhicule léger non précisé,,,,
2705,Graves,Cycliste,Automobile,TOYOT,TERCE,001492,1998
3102,Graves,Cycliste,Automobile,HONDA,CIVIC,001673,2002
2869,Graves,Cycliste,Véhicule léger non précisé,,,,
1775,Graves,Cycliste,Camionnette,RAM,1500,005707,2014
2516,Graves,Cycliste,Automobile,HONDA,CIVIC,002001,2016
4069,Graves,Cycliste,Automobile,TOYOT,COROL,001787,2004
2517,Graves,Cycliste,Fourgonnette,MAZDA,5,002296,2009
990,Graves,Cycliste,Automobile,TOYOT,COROL,001787,1999
2438,Graves,Cycliste,Automobile,CHEVR,CRUZE,001394,2013
4222,Graves,Cycliste,Automobile,VOLVO,V50,002525,2006
4092,Graves,Cycliste,Automobile,KIA,RIO,001607,2010
1916,Graves,Cycliste,Véhicule léger non précisé,,,,
1822,Graves,Cycliste,Automobile,TOYOT,PRIUS,001492,2008
2493,Graves,Cycliste,Fourgonnette,FORD,TRANS,003706,2016
991,Graves,Cycliste,Automobile,TOYOT,COROL,001787,2004
991,Graves,Cycliste,Automobile,VOLVO,S60,002509,2004
1519,Graves,Cycliste,Automobile,HYUND,SONAT,003345,2006
2246,Graves,Cycliste,Véhicule léger non précisé,,,,
2246,Graves,Cycliste,Camionnette,FORD,F150,005395,2009
2439,Graves,Cycliste,Automobile,HYUND,ELANT,001984,2014
2658,Graves,Cycliste,Automobile,NISSA,LEAF,000000,2012
3852,Graves,Cycliste,Automobile,NISSA,ALTIM,002500,2009
2519,Graves,Cycliste,Automobile,TOYOT,TC,002493,2011
4337,Graves,Cycliste,Automobile,DODGE,DART,002394,2016
2732,Graves,Cycliste,Camionnette,RAM,1500,005707,2015
628,Graves,Cycliste,Tracteur routier,MACK,600,011938,2005
2674,Graves,Cycliste,Automobile,HYUND,ACCEN,001607,2016
629,Graves,Cycliste,Autres,,,,
1723,Graves,Cycliste,VUS,DODGE,JOURN,003509,2010
3247,Graves,Cycliste,VUS,NISSA,MURAN,003509,2009
3892,Graves,Cycliste,Automobile,HYUND,ACCEN,001607,2013
2520,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003296,2008
246,Graves,Cycliste,Automobile,HONDA,CIVIC,001673,2002
409,Graves,Cycliste,Automobile,FORD,FOCUS,001984,2001
2659,Graves,Cycliste,Véhicule léger non précisé,,,,
3990,Graves,Cycliste,Véhicule léger non précisé,,,,
144,Graves,Cycliste,Automobile,HONDA,ACCO,002394,2008
2878,Graves,Cycliste,Véhicule léger non précisé,,,,
1520,Graves,Cycliste,Camionnette,FORD,RNG,003000,2008
3377,Graves,Cycliste,Véhicule léger non précisé,,,,
4184,Graves,Cycliste,Véhicule léger non précisé,FORD,F350,006199,2011
3275,Graves,Cycliste,VUS,ISUZU,NRR,005198,2010
3997,Graves,Cycliste,Véhicule léger non précisé,,,,
4395,Graves,Cycliste,Motocyclette,,,,
2636,Graves,Cycliste,Automobile,VOLKS,GOLF,001984,2003
3977,Graves,Cycliste,Automobile,HONDA,CIVIC,001673,2004
4070,Graves,Cycliste,Automobile,CHEVR,MALIB,002197,2006
2883,Graves,Cycliste,VUS,SUZUK,GRAND,002493,2003
2351,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003296,2008
3615,Graves,Cycliste,Camionnette,TOYOT,TUNDR,005707,2011
2884,Graves,Cycliste,Automobile,KIA,OPTIM,002361,2011
915,Graves,Cycliste,Automobile,TOYOT,COROL,001800,2006
915,Graves,Cycliste,VUS,BMW,X6,003001,2013
2885,Graves,Cycliste,Automobile,LEXUS,ES330,003296,2004
2299,Graves,Cycliste,Véhicule léger non précisé,,,,
2215,Graves,Cycliste,Tracteur routier,KENWO,CON,015005,2013
561,Graves,Cycliste,Automobile,CHEVR,MALIB,002394,2010
1919,Graves,Cycliste,Véhicule léger non précisé,,,,
4031,Graves,Cycliste,VUS,CHEVR,EQUIN,003411,2005
19,Graves,Cycliste,Véhicule léger non précisé,,,,
749,Graves,Cycliste,VUS,NISSA,ROGUE,002509,2012
1920,Graves,Cycliste,Automobile,NISSA,ALTIM,002509,2010
917,Graves,Cycliste,Camion,GMC,SIE,006609,2016
3429,Graves,Cycliste,Véhicule léger non précisé,,,,
1655,Graves,Cycliste,Automobile,MINI,COOPE,001492,2016
1381,Graves,Cycliste,Tracteur routier,FREIG,CASCA,012808,2015
2894,Graves,Cycliste,Automobile,MAZDA,PROTE,001591,2003
445,Graves,Cycliste,Camionnette,RAM,1500,005707,2015
